AlertTitle,Category,IncidentGrade,EntityType,EvidenceRole,Url,AccountName,DeviceName,OSVersion,CountryCode,State,City,Year,Month,Day,Hour
4.0,SuspiciousActivity,BenignPositive,Process,Related,160396,453297,153085,66,242,1445,10630,2024,6,9.0,10
373.0,Execution,TruePositive,CloudApplication,Impacted,160396,453297,153085,66,242,1445,10630,2024,6,7.0,7
11.0,InitialAccess,BenignPositive,MailMessage,Related,160396,453297,153085,66,242,1445,10630,2024,6,10.0,10
26.0,Execution,BenignPositive,File,Related,160396,453297,153085,66,242,1445,10630,2024,6,5.0,4
5.0,InitialAccess,BenignPositive,MailMessage,Related,160396,453297,153085,66,242,1445,10630,2024,6,4.0,20
3.0,InitialAccess,TruePositive,CloudLogonRequest,Related,160396,453297,153085,66,242,1445,10630,2024,6,3.0,14
0.0,InitialAccess,TruePositive,CloudLogonRequest,Related,160396,453297,153085,66,242,1445,10630,2024,6,11.0,8
0.0,InitialAccess,FalsePositive,CloudLogonRequest,Related,160396,453297,153085,66,242,1445,10630,2024,6,13.0,16
32.0,Execution,FalsePositive,CloudApplication,Impacted,160396,453297,153085,66,242,1445,10630,2024,6,12.0,22
1.0,InitialAccess,TruePositive,MailCluster,Related,160396,453297,153085,66,242,1445,10630,2024,6,3.0,16
10.0,Impact,FalsePositive,Ip,Related,160396,453297,153085,66,242,1445,10630,2024,6,1.0,18
97.0,SuspiciousActivity,BenignPositive,Ip,Related,160396,453297,153085,66,242,1445,10630,2024,6,9.0,5
0.0,InitialAccess,TruePositive,CloudLogonRequest,Related,160396,453297,153085,66,242,1445,10630,2024,6,9.0,0
5.0,InitialAccess,BenignPositive,MailMessage,Related,160396,453297,153085,66,242,1445,10630,2024,6,4.0,17
43.0,Exfiltration,FalsePositive,MailMessage,Impacted,160396,453297,153085,66,242,1445,10630,2024,6,10.0,1
1.0,InitialAccess,BenignPositive,MailMessage,Related,160396,453297,153085,66,242,1445,10630,2024,6,9.0,19
13.0,Exfiltration,BenignPositive,File,Impacted,160396,453297,153085,66,242,1445,10630,2024,6,11.0,13
2.0,CommandAndControl,BenignPositive,Process,Related,160396,453297,153085,66,242,1445,10630,2024,6,5.0,12
2.0,CommandAndControl,BenignPositive,Process,Related,160396,453297,153085,66,242,1445,10630,2024,6,11.0,11
0.0,InitialAccess,TruePositive,CloudLogonRequest,Related,160396,453297,153085,66,242,1445,10630,2024,6,10.0,5
5.0,InitialAccess,TruePositive,MailCluster,Related,160396,453297,153085,66,242,1445,10630,2024,6,13.0,15
17.0,InitialAccess,FalsePositive,MailMessage,Related,160396,453297,153085,66,242,1445,10630,2024,6,5.0,16
202.0,SuspiciousActivity,TruePositive,Malware,Related,160396,453297,153085,66,242,1445,10630,2024,6,11.0,10
55.0,CommandAndControl,BenignPositive,Ip,Related,160396,453297,153085,66,242,1445,10630,2024,6,4.0,6
39.0,SuspiciousActivity,TruePositive,Ip,Related,160396,453297,153085,66,242,1445,10630,2024,6,12.0,7
1.0,InitialAccess,BenignPositive,MailCluster,Related,160396,453297,153085,66,242,1445,10630,2024,6,14.0,16
30.0,InitialAccess,BenignPositive,MailMessage,Related,160396,453297,153085,66,242,1445,10630,2024,6,13.0,5
49.0,SuspiciousActivity,BenignPositive,CloudApplication,Impacted,160396,453297,153085,66,242,1445,10630,2024,6,12.0,9
8.0,InitialAccess,BenignPositive,File,Related,160396,453297,153085,66,242,1445,10630,2024,6,12.0,14
0.0,InitialAccess,TruePositive,CloudLogonRequest,Related,160396,453297,153085,66,242,1445,10630,2024,6,5.0,12
6.0,InitialAccess,TruePositive,CloudLogonRequest,Related,160396,453297,153085,66,242,1445,10630,2024,6,4.0,2
1.0,InitialAccess,TruePositive,MailCluster,Related,160396,453297,153085,66,242,1445,10630,2024,6,7.0,0
46.0,Execution,TruePositive,Process,Related,160396,453297,153085,66,242,1445,10630,2024,6,3.0,7
1.0,InitialAccess,FalsePositive,MailMessage,Related,160396,453297,153085,66,242,1445,10630,2024,6,3.0,3
0.0,InitialAccess,TruePositive,CloudLogonRequest,Related,160396,453297,153085,66,242,1445,10630,2024,6,3.0,6
6.0,InitialAccess,TruePositive,CloudLogonRequest,Related,160396,453297,153085,66,242,1445,10630,2024,6,8.0,18
3.0,InitialAccess,TruePositive,CloudLogonRequest,Related,160396,453297,153085,66,242,1445,10630,2024,6,4.0,9
4.0,SuspiciousActivity,BenignPositive,Ip,Related,160396,453297,153085,66,242,1445,10630,2024,6,13.0,11
1.0,InitialAccess,BenignPositive,MailMessage,Related,160396,453297,153085,66,242,1445,10630,2024,6,3.0,13
3.0,InitialAccess,TruePositive,CloudLogonRequest,Related,160396,453297,153085,66,242,1445,10630,2024,6,5.0,20
1.0,InitialAccess,BenignPositive,File,Related,160396,453297,153085,66,242,1445,10630,2024,6,7.0,17
1.0,InitialAccess,BenignPositive,MailMessage,Related,160396,453297,153085,66,242,1445,10630,2024,6,9.0,2
129.0,SuspiciousActivity,BenignPositive,CloudApplication,Impacted,160396,453297,153085,66,242,1445,10630,2024,6,12.0,13
6.0,InitialAccess,TruePositive,CloudLogonRequest,Related,160396,453297,153085,66,242,1445,10630,2024,6,8.0,22
13.0,Exfiltration,BenignPositive,File,Impacted,160396,453297,153085,66,242,1445,10630,2024,6,11.0,17
3.0,InitialAccess,TruePositive,CloudLogonRequest,Related,160396,453297,153085,66,242,1445,10630,2024,6,9.0,17
36.0,Exfiltration,BenignPositive,MailMessage,Impacted,160396,453297,153085,66,242,1445,10630,2024,6,13.0,16
4.0,SuspiciousActivity,BenignPositive,Ip,Related,160396,453297,153085,66,242,1445,10630,2024,6,6.0,6
0.0,InitialAccess,TruePositive,CloudLogonRequest,Related,160396,453297,153085,66,242,1445,10630,2024,6,8.0,21
0.0,InitialAccess,TruePositive,CloudLogonSession,Related,160396,453297,153085,66,242,1445,10630,2024,6,8.0,13
1.0,InitialAccess,BenignPositive,MailCluster,Related,160396,453297,153085,66,242,1445,10630,2024,6,12.0,19
570.0,Exfiltration,BenignPositive,File,Impacted,160396,453297,153085,66,242,1445,10630,2024,6,12.0,14
3.0,InitialAccess,TruePositive,CloudLogonRequest,Related,160396,453297,153085,66,242,1445,10630,2024,6,3.0,18
150.0,Exfiltration,BenignPositive,MailMessage,Impacted,160396,453297,153085,66,242,1445,10630,2024,6,8.0,19
0.0,InitialAccess,TruePositive,CloudLogonRequest,Related,160396,453297,153085,66,242,1445,10630,2024,6,4.0,3
76.0,Persistence,BenignPositive,Ip,Related,160396,453297,153085,66,242,1445,10630,2024,6,15.0,18
5.0,InitialAccess,FalsePositive,MailCluster,Related,160396,453297,153085,66,242,1445,10630,2024,6,11.0,15
3.0,InitialAccess,TruePositive,CloudLogonRequest,Related,160396,453297,153085,66,242,1445,10630,2024,6,8.0,23
8.0,InitialAccess,BenignPositive,MailCluster,Related,160396,453297,153085,66,242,1445,10630,2024,6,11.0,3
3.0,InitialAccess,TruePositive,CloudLogonRequest,Related,160396,453297,153085,66,242,1445,10630,2024,6,6.0,21
1.0,InitialAccess,TruePositive,MailMessage,Related,160396,453297,153085,66,242,1445,10630,2024,6,3.0,14
0.0,InitialAccess,TruePositive,CloudLogonRequest,Related,160396,453297,153085,66,242,1445,10630,2024,6,8.0,11
15.0,InitialAccess,TruePositive,CloudLogonSession,Related,160396,453297,153085,66,242,1445,10630,2024,6,3.0,19
31.0,SuspiciousActivity,FalsePositive,CloudApplication,Impacted,160396,453297,153085,66,242,1445,10630,2024,6,8.0,16
61.0,InitialAccess,BenignPositive,Ip,Related,160396,453297,153085,66,242,1445,10630,2024,6,14.0,19
13.0,Exfiltration,BenignPositive,File,Impacted,160396,453297,153085,66,242,1445,10630,2024,6,6.0,16
26.0,Execution,BenignPositive,File,Related,160396,453297,153085,66,242,1445,10630,2024,6,12.0,21
